cue	سرنخ - سرنخ دادن
reinforce	تقویت کردن
tense	نگران - عصبی
analogous	مشابه
in behalf of sb / in sb's behalf	به منظور کمک به کسی
on behalf of sb = on sb's behalf	از طرف کسی - به جای کسی
bulk	قسمت عمده - حجم
cease	قطع کردن - stop
coherent	منسجم و منطقی
coincide	هم زمان بودن - منطبق بودن
confine	محدود کردن - محبوس کردن - محصور کردن
converse	معکوس - مخالف - صحبت کردن
diminish	decrease
insight	بینش - بصیرت
immature	ناپخته - نابالغ - نارسیده
mediate	وساطت کردن
via	توسط - به وسیله
mutual	متقابل - مشترک
restrain	جلوگیری کردن - مهار کردن - خودداری کردن
rigid	بسیار محکم - غیر قابل تغییر - inflexible
spherical	کروی
subordinate	در مقام دوم (نه اول)
albeit	اگرچه - although
forthcoming	در شرف انجام یا آماده شدن
intrinsic	ذاتی - درونی - inherent
invoke	استناد کردن به
levy	مالیات - مالیات بستن
likewise	همچنین - Also
nonetheless	nevertheless - despite this fact
notwithstanding	despite - علیرغم - با وجود
pose	ژست گرفتن - (درد سر یا مشکل) درست کردن - وانمود کردن
reluctance	تردید و بی میلی
so-called	اصطلاحا - به اصطلاح
straightforward	easy - honest
whereby	چگونه ؟ - از طریق آن
voyage	سفر دریایی یا فضایی
reciprocal	متقابل - دو جانبه
viable	بادوام و ماندنی - شدنی - امکان پذیر
representative	نماینده - جانشین - نمایانگر
liaise	رابط بودن - در ارتباط بودن
assumption	فرض - پیش فرض
convene	جلسه رسمی ست کردن - گرد هم آمدن
absence	غیبت - فقدان
presence	حضور - وجود
abuse	سوء استفاده کردن - بد رفتاری کردن - misuse
accidental	تصادفی - اتفاقی
acid	اسید
admiration	تحسین
adopt	به فرزندی گرفتن - اتخاذ کردن - تصویب کردن
take advantage of	بهره گیری کردن از
admit	پذیرفتن
advice	نصیحت
advise	نصیحت کردن - آگاه کردن
affair	قضیه - مطلب - رابطه نامشروع
aggressive	تهاجمی - پرخاشگر
ahead	جلو - earlier
aid	کمک - کمک کردن
ally	متحد - هم پیمان - متحد شدن
aloud	با صدای بلند
ambition	جاه طلبی - بلند پروازی
amuse	سرگرم کردن
angrily	با عصبانیت - خشمگینانه
anniversary	سال روز
anxiety	نگرانی - دلواپسی
appeal	جاذبه - گیرایی - درخواست رسمی
approve	موافقت کردن - تایید کردن
approval	موافقت - تایید
approximate	تقریبی
arrival	ورود
arrow	تیر - پیکان - فِلِش
aside from / apart from	به جز - به غیر از
fall asleep	به خواب رفتن
assure	اطمینان دادن
attend	حضور داشتن - شرکت کردن - توجه کردن
awkward	ناجور - دشوار - ناراحت کننده
baggage = luggage	چمدان - اسباب سفر
bargain	دارای تخفیف - چانه زدن
barrier	سنگر - مانع
basis	پایه - بنیاد - زیرساخت
bay	خلیج کوچک
beak	منقار - دماغِ دراز
belief	باور - عقیده - اعتقاد
bell	زنگ - ناقوس
belt	کمربند - تسمه
bend	انحنا - خم شدن - خم کردن
beneath	در زیر - در موقعیت پایین تر
beyond	طرف دیگر - بعد از - بیش از - دور از
bid	مبلغ پیشنهادی - پیشنهاد کردن قیمت
bitter	تلخ - ناگوار
blame	تقصیر - مقصر دانستن - سرزنش کردن
blond	مو طلایی (مرد)
blonde	مو طلایی (زن)
blow	فوت - فوت کردن - وزیدن
bore	خسته و بی حوصله کردن - حفر کردن
bound	حد - مرز - احتمال قطعی
breath	نفس
breathe	نفس کشیدن
broad	گسترده - عریض - پهناور
narrow	باریک - محدود
bunch of sth	یک دسته (از چیزی)
bury	به خاک سپردن - دفن کردن
bush	بوته
in case	در صورتی که - in case of
ceiling	سقف (مقدار یا محدودیت) - سقف اتاق
charity	سازمان خیریه - نیکو کاری
cheerful	شاد - شادی آور
chew	جویدن - جویدنی
chop	قطع کردن - ریز ریز کردن - cut
circumstance	وضعیت - شرایط
closet	کمد (دیواری)
collapse	فرو ریختن - از حال رفتن - شکست خوردن
comparison	مقایسه
concrete	بتون - محکم
confront	رودررو شدن - مواجه کردن
congress	همایش - گردهمایی - کنگره
conscious	هوشیار - آگاه
contribute	سهیم بودن - اهدا کردن
convince	متقاعد کردن - persuade
cope (with)	به خوبی از عهده (چیزی) برآمدن
cottage	کلبه
county	بخش (در تقسیمات شهری)
crisis	بحران - سختی
crisp	ترد و خشک - تر و تازه
criterion	معیار - ضابطه
crown	تاج - سلطنت
crush	له کردن - خرد کردن
curb	مهار - مهار کردن - جدول خیابان
curl	فرفری - پیچاندن
curtain	پرده - پرده نصب کردن
curve	منحنی - منحنی کشیدن
damp	رطوبت - مرطوب - مرطوب کردن
dare	جرات کردن - شهامت بخشیدن
deal (in)	معامله کردن - trade in
debt	بدهی - دِین
in debt	مقروض
declare	اعلام کردن - بیان کردن - اظهار کردن
deliberate	عمدی - حساب شده - اندیشیدن
delicate	ظریف و زیبا - ظریف و آسیب پذیر - دلپذیر
fragile	ظریف - ضعیف - شکننده
delight	شادی - شادی کردن - joy
deserve	شایسته بودن - سزاوار بودن
desperate	نا امید - نا امیدانه - از روی ناچاری
dig	حفر کردن - کندوکاو کردن
dirt	چرک - کثیفی - خاک نرم
disapprove	موافقت نکردن
disgust	انزجار - نفرت - متنفر کردن
distinguish	تمیز دادن - تفاوت قایل شدن
distinguished	متمایز - برجسته - ممتاز
dignity	بزرگ منشی - احترام
drama	نمایش نامه - نمایش - داستان هیجان انگیز
drum	طبل - طبل زدن
dull	کسل کننده - کدر و تار
dust	گرد و غبار - گرد گیری کردن
ease	راحتی و آسایش - آرام کردن - آرام شدن
elegant	زیبا و جذاب - stylish
embarrass	شرمنده کردن - درد سر درست کردن
emotion	احساس - عاطفه
in the end	سر انجام
enormous	عظیم - بزرگ
enquiry / inquiry	بررسی - استعلام
enthusiastic	پر از شور و اشتیاق
entitle	حق (داشتن چیزی یا انجام کاری) دادن - نامیدن
envelope	پاکت نامه
establish	پایه گذاری کردن - جا افتادن - به اثبات رساندن
in exchange for	در عوض با (برای تعویض کردن چیزی)
excite	تهییج کردن
expand	گسترش دادن - گسترده شدن
expose	در معرض (چیزی) قرار دادن - افشا کردن - reveal
extent	دامنه - وسعت
to what extent	تا چه اندازه ای؟
faint	غش کردن - ضعیف - کم توان
fame	شهرت
fancy	تخیل - خیال - میل داشتن
in favor (of)	در موافقت یا طرفداری( از چیزی)
fork	چنگال - چنگک - چند شاخه شدن
former	قبلی - سابق
formerly	در گذشته - سابقا
fridge	یخچال
make friends (with)	دوست شدن با
make fun of	مسخره کردن - دست انداختن
gear	دنده (اتومبیل)
generous	سخاوتمند - فراوان
get on	موفق شدن (در کاری) - سوار شدن (اتومبیل)
get off	پیاده شدن - خارج شدن از
give sth away	اهدا کردن چیزی
give up	دست کشیدن - تسلیم شدن
glue	چسباندن - چسب
governor	حاکم - فرماندار - رییس
grab	قاپیدن - ناگهانی گرفتن
gradual	آرام آرام - تدریجی
grave	قبر - مهم و جدی
growth	رشد - رویش
hairdresser	آرایشگر
hatred	نفرت
heal	التیام یافتن - شفا بخشیدن
hip	باسن
hollow	گود - تو خالی - توخالی کردن
humorous	خنده دار
humor / humour	بامزگی - شوخ طبعی - خلق و خو
immoral	غیر اخلاقی - فاسد و هرزه
implication	پیامد - معنی تلویحی - دخالت در جرم
indeed	به درستی که - در واقع - البته
injury	صدمه - زخم
insult	توهین - توهین کردن
intend	قصد داشتن - معنی دادن
interior	داخلی - درونی - درون مرزی
interval	فاصله زمانی - وقفه زمانی
irritate	آزار دادن - باعث درد شدن
jelly	ژله - ژلاتینی
justice	عدالت - بی طرفی
justify	توجیه کردن (منطقی یا با بهانه)
keen on (sb/sth)	بسیار علاقه مند به
knit	بافتن - به هم پیوند دادن
knot	گره
latter	آخر - آخری - اخیر
lean	خم شدن - خم کردن - لم دادن - تکیه دادن
leave out	حذف کردن - خط زدن
licence / license	گواهی نامه - مجوز رسمی - مجوز دادن
lid	درپوش
likely	محتمل - احتمالی - مناسب
liter / litre	لیتر
look forward to	چشم به راه بودن - در انتظار بودن
loosely	به طور گل و گشاد و شل
lorry	کامیون - truck
make sth up	تشکیل دادن - داستان بافتن - مرتب کردن
march	رژه رفتن - راه پیمایی کردن - راه پیمایی
mate	رفیق - جفت - جفت گیری کردن
by means of sth	به وسیله چیزی
meanwhile / meantime	در این مدت - در این فاصله
in memory of	به یادِ
mess	به هم ریخته یا کثیف
mild	ملایم - خفیف
moreover	علاوه بر این
mysterious	اسرار آمیز - مرموز
nephew	پسر خواهر و برادر - پسر خواهر و برادر همسر
nest	لانه - آشیانه
niece	دختر خواهر و برادر - دختر خواهر و برادر همسر
nose	دماغ - دماغه - شامه
take notice of	توجه کردن به
one another	یکدیگر - each other
onto	بر روی - به سوی - به درون
otherwise	وگرنه - در غیر این صورت
outer	بیرونی - خارجی - دور دست
pale	رنگ پریده - کم رنگ
pan	تابه
take part (in)	شرکت کردن در
pence / pennies	جمع پنی
pension	حقوق بازنشستگی
pile	توده - انباشته
pill	قرص (دارو)
pint / pt	واحد حجم (حدود نیم لیتر)
pin	سوزن ته گرد - سنجاق - پین
pitch	محوطه (به خصوص برای ورزش)
pity	ترحم - دلسوزی - افسوس
pleasing	خوشایند - رضایت بخش
plot	قطعه (زمین) - داستان - طرح توطئه
policy	خط مشی ـ سیاست - قوانین بیمه نامه
pop	موسیقی پاپ - پدر روحانی - صدای انفجار - نوشیدنی گازدار بدون الکل
possess	مالک بودن - دارا بودن
possession	مالکیت - دارایی - اموال
precise	دقیق و درست
premises	محوطه
preserve	حفاظت کردن - نگه داشتن
presumably	احتمالا
priest	کشیش
prince	پرنس - شاهزاده (مرد)
prior	قبلی - پیشین
prize	جایزه - ارزش زیاد قایل شدن
promote	ترفیع دادن - تشویق کردن - تبلیغ کردن
promotion	ترفیع - تشویق - آگهی بازرگانی
prompt	cause - immediate - punctual
prove	آزمودن - اثبات کردن
punch	با مشت زدن ـ سوراخ ایجاد کردن
pursue	دنبال کردن - پیگیری کردن
put sth out	بیرون انداختن (از خانه) - خاموش کردن
quite	کاملا - صد در صد
quote	نقل قول - بازگو کردن
rear	پشت - عقب
receipt	رسید - وصول
reckon	فکر کردن - پنداشتن - محاسبه کردن
refusal	امتناع - خود داری
regret	تاسف خوردن - متاسف بودن
remains	باقی مانده - پس مانده - لاشه
remark	اظهار کردن - comment
response	پاسخ - واکنش
reward	جایزه - پاداش - پاداش دادن
rid	رها کردن - خلاص کردن
get rid of	(از شر چیزی) خلاص شدن
ridiculous	مسخره - مزخرف
raise	بلند کردن - بالا بردن
rise	برخواستن - شورش کردن - بالا رفتن
rob	دزدیدن
role	نقش
roll	غلتیدن - غلتاندن - رُل
rub	مالش دادن - ساییدن
rubbish	آشغال - مزخرف
rumor	شایعه - شایعه کردن
sack	گونی - کیسه - اخراج کردن
sail	بادبان - قایق یا کشتی رانی کردن - سفر با قایق یا کشتی
scissors	قیچی
scratch	خراشیدن - خاریدن - چنگ زدن
screw	پیچ - پیچ کردن - پیچاندن
seal	مُهر - مهر کردن - تایید کردن - سیل دریایی
senate	مجلس سنا
settle	به توافق رسیدن برای - ساکن شدن
sew	دوختن - بخیه کردن - وصله زدن
shade	سایه - نور گیر - سایه کردن
shelf	تاقچه
on the shelf	بی مصرف - نا کارآمد
shelter	پناهگاه - سرپناه - پناه دادن
shot	شلیک - گلوله - ساچمه - تزریق
give sb shot	تزریق کردن
shout	فریاد زدن - فریاد
shut	بستن - مسدود کردن
shy	کم رو - کم رویی کردن
sideways	یک طرفه - از یک طرف
sight	منظره - بینایی - دیدن - توانایی دیدن
silly	احمقانه - مزخرف
sincere	صادق - صادقانه
sleeve	آستین (لباس) - روکش استوانه ای
slight	خیلی کم - کوچک - بی ادبی کردن
smash	شکستن - خرد کردن
snake	مار
sock	جوراب - ضربه زدن
soil	خاک - کشور
sore	دارای درد - painful
spare	اضافه - یدکی
spin	چرخیدن سریع - چرخاندن - ریسیدن
spiritual	معنوی - مرتبط به روح
spot	لکه - نقطه - موضع
squeeze	چپاندن - (با انگشت) فشردن - چلاندن
stage	مرحله - سکو
stair	پله
stairs	راه پله
stare	خیره - خیره شدن
steep	شیب تند
steer	فرمان - هدایت کردن
stick	فرو کردن - چسباندن - گذاشتن
steal	دزدیدن
steel	فلز استیل
still	هنوز - بی حرکت - بی صدا
stir	هم زدن
stock	موجودی (انبار) - عرضه کردن
stone	سنگ
stove	بخاری - اجاق غذا پذی
strike	(به شدت) زدن - حمله کردن - ناگهانی به ذهن خطور کردن
stripe	نواره باریک - رنگ راه راه
stroke	ضربه - دست روی چیزی کشیدن
substitute	جایگزین - جایگزین کردن
succeed	موفق شدن - جانشین شدن
superior	برتر - بهتر
inferior	بد - بدتر
swell	بزرگ تر شدن - متورم شدن
sweat	عرق - عرق کردن - خیس عرق
sweet	شیرین - خوشایند - خوشبو
swing	نوسان کردن - تاب خوردن - دور زدن
sympathetic (to/towards)	دلسوز - هم درد - موافق
sympathy	دلسوزی و هم دردی کردن - موافقت و پشتیبانی کردن
tackle	مهار کردن - confront
take off	درآوردن (لباس) - ترک کردن - بلند شدن هواپیما - (مدتی) مرخصی گرفتن
take sth over (from sb)	کنترل چیزی را به دست گرفتن
tend	گرایش داشتن - مایل بودن
tension	تنش - نگرانی و استرس - کشیدگی
tent	چادر - خیمه
thirsty	تشنه
thorough	کاملا - دقیق و کامل
though / although	اگرچه
threaten	تهدید کردن
throw	پرتاب کردن
tiny	خیلی کوچک - خیلی کم
toe	انگشت پا
ton	واحد وزن (معادل 2000 پوند)
tone	تن صدا - آهنگ (چیزی)
tonne	معادل 1000 کیلو
tough	مشکل - سخت - محکم - زمخت
trap	تله - ترفند - به تله انداختن
trend	گرایش - تمایل - روند
trail	رد پا - track
trick	ترفند - ترفند زدن
tropical	استوایی - گرمسیری
tire	خسته کردن - لاستیک
underneath	در زیر - پایین
underwear	لباس زیر
upon / on	بر روی - به محض
urge	با نصیحت متقاعد کردن - به شدت توصیه کردن
van	اتومبیل وَن
vast	بسیار بزرگ - بسیار زیاد - پهناور
venture	معامله ریسکی - ریسک کردن
violence	خشونت
wage	دستمزد (معمولا هفتگی)
wallet	کیف پول
wander	پرسه زدن - گمراه شدن - از مسیر منحرف شدن
warmth	حرارت - گرمی
weigh	وزن کردن - وزن داشتن
whereas	از آنجایی که - در حالی که
whilst / while	در مدتی که - در حالی که
whisper	پچ پچ کردن - آرام گفتن
whistle	سوت - سوت زدن
willing	مایل - راضی
withdraw	عقب نشینی کردن - منصرف شدن - انصراف دادن
wound	زخم - زخمی کردن
wrap	پیچیدن و پوشاندن
adjust	تنظیم کردن - میزان کردن
apprehensive	نگران و ترسیده
approach	نزدیک شدن - وارد گفتگو شدن - رویکرد
beneficial	سودمند - مفید
chiefly	اکثرا - اغلب - mainly
commerce	بازرگانی - تجارت
compliment	تعریف و تحسین کردن
conceivable	قابل تصور - قابل باور
deceptive	فریبنده
deplete	تحلیل بردن - کاستن
era	عصر - دوران
ethnic	قومی
genre	ژانر
identify	شناسایی کردن
ideology	ایدئولوژی
integral	لازم و مکمل - جدایی ناپذیر
intellectual	روشنفکر - فکری
intimidate	ترساندن
leeway	آزادی عمل
legislate	قانون وضع کردن
mediocre	متوسط و معمولی
minuscule	ریز - بسیار کوچک
narrative	روایت - داستان - داستانی
objective	بی طرف و منصفانه - واقعی - هدف
outgrow	بزرگتر شدن از - بزرگتر شدن و جا نشدن
perpetuate	تداوم بخشیدن به
pollute	آلوده کردن
prerequisite	پیش نیاز - لازمه
proficiency	مهارت - خبرگی
profound	شدید - عمیق - بسیار بزرگ
regulate	منظم کردن - تحت قاعده درآوردن
revise	بازبینی کردن
rigorous	سخت گیرانه - دقیق و جزیی
scrutinize	به دقت بررسی کردن
subtle	نامحسوس - زیرکانه
violate	تخطی کردن - نقض کردن
waive	صرف نظر کردن
jam	مربا - ازدحام
typical	نمونه - عادی - معمول
devise	اختراع کردن - نوآوری کردن - think up
wholesale	عمده فروشی
costume	پوشاک - لباس (خاص)
loud	پر سر و صدا - (صدای) بلند
moisture	رطوبت
flour	آرد
barely	به ندرت - به سختی
fog	مِه
germ	میکروب
slaughter	کشتار
how come	چطور
come across (sb/sth)	اتفاقی مواجه شدن با
come out	ظاهر و نمایان شدن - عرضه شدن - معلوم شدن
vapor	بخار (مایعات)
villain	شرور - جنایتکار - شخصیت منفی داستان
utilize	مورد استفاده قرار دادن
humid	مرطوب - شرجی
vanish	ناپدید شدن - غیب شدن
steam	بخار آب - بخار تولید کردن
swamp	inundate - باتلاق - غرق شدن - دچار سیل شدن
wicked	شرور - evil
cellar	انبار زیر زمینی
lower	پایین تر - پایین آوردن
leaves	جمع leaf - برگ
row	ردیف - پارو زدن
weed	علف هرز - خزه روی آب
leftover	باقی مانده - به جا مانده
crab	خرچنگ
draw	نقاشی کردن - pull
weatherman	هوا شناس
witch	جادوگر
tradition	سنت - رسم و رسوم
rural	روستایی
campus	محوطه دانشگاه
assemble	دور هم جمع شدن - سر هم کردن
explore	به دقت بررسی کردن - کاوش کردن
reform	اصلاح کردن
throughout	در سرتاسر
move off	ترک کردن
rioter	آشوب گر
spacecraft	سفینه فضایی
defect	عیب - نقص - fault
neglect	رسیدگی نکردن - مورد توجه قرار ندادن
deceive	فریب دادن - mislead
undoubtedly	بدون تردید
comprehensive	جامع - کامل
defraud	گول زدن - فریب دادن
pilgrim	مسافر زیارتی - زائر
basement	طبقه زیر زمین - اتاق زیر زمین
ruin	ویران کردن - ویرانه - ویرانی
capsule	کپسول - محفظه
denounce	سرزنش کردن
torrent	سیل - سیلاب
resent	رنجیدن از - خشمگین شدن از
molest	تعرض کردن - آزار رساندن
gloomy	نیمه تاریک - اندوهگین - depressing
unforeseen	پیش بینی نشده - غیر منتظره
put off	postpone - delay
defective	معیوب - ناقص - faulty
wreck	خرد و خراب - اسقاط - غرق شده
weird	غیر عادی - اسرار آمیز - strange
bulky	بزرگ - حجیم
reluctant	مردد و بی میل
remarkable	قابل توجه - چشمگیر - فوق العاده
horrible	ترسناک - terrible - horrid
violet	گل بنفشه - بنفش رنگ
vicinity	نزدیکی - مجاورت
rage	عصبانیت - خشم
undeniable	غیر قابل انکار
miniature	مینیاتور - نمونه کوچک
beat	شکست دادن - defeat
behave	رفتار کردن - خوب رفتار کردن
excel	بی نظیر بودن - بهتر (در انجام کاری) بودن
feminine	زنانه
mount	بالا رفتن - سوار شدن - تدارک دیدن
dread	ترس داشتن از
masculine	مردانه
menace	تهدید - threat
underestimate	دست کم گرفتن - کم برآورد کردن
numerous	many - several
critic	منتقد
evidence	نشانه - شواهد - گواه دادن
solitary	انفرادی - به تنهایی - تنها - گوشه گیر
vision	بینایی - رویا - تصور - برنامه بلند مدت
frequent	مکرر - متناوب
glimpse	نگاه اجمالی کردن - نگاه سریع و مختصر
minority	اقلیت - عده کم - زیر سن بلوغ
fiction	افسانه - تخیل
shore line	خط ساحلی
flabby	خپل - شکم گنده
ignite	مشتعل کردن - آتش زدن
abolish	منسوخ کردن - لغو کردن
audible	قابل شنیدن
match	چوب کبریت - مسابقه
treasurer	خزانه دار
sergeant	گروهبان
famine	قحطی
observant	مراقب - تیزبین
vessel	لِنج - کشتی - رگ
persist	پافشاری کردن - پا بر جا ماندن
hazy	مِه آلود - غبار آلود - vague
gleam	پرتو نور - برق نور
scout	پیشاهنگ - تیم شناسایی
tour	تور - بازدید
unruly	سرکش - غیر قابل کنترل
violent	خشن - شدید
brutal	وحشیانه - بی رحم
brawl	جار و جنجال - جنگ و دعوا
vicious	بد جنس - بی رحم
whirl	دور خود چرخیدن
underdog	طرف ضعیف تر
thrust	محکم هل دادن - ناگهانی هل دادن
bewildered	گیج - confused
alter	تغییر دادن - دستکاری کردن
pledge	پیمان - عهد بستن
casual	اتفاقی - موقتی - غیر رسمی - سر به هوا
fortunate	lucky - خوش شانس
ripe	رسیده
oar	پارو (بلند)
slender	لاغر - کم - thin
slim	لاغر و خوش اندام - باریک
surpass	پیشی گرفتن - فراتر بودن
pierce	سوراخ کردن - penetrate
grateful	سپاسگزار - ممنون - thankful
cautious	محتاط - مراقب
pound	واحد پول - واحد وزن - ضربه زدن
pupil	دانش آموز - مردمک
addict	معتاد
wary	محتاط - cautious
misfortune	بد شانسی - بد بیاری
wretched	مصیبت بار - بسیار بد
keg	بشکه (کوچک)
opt	choose - select
swift	سریع
painkiller	مُسکن
beer	آب جو
carpenter	نجار
skinny	بسیار لاغر
inhale	استنشاق کردن
pedestrian	عابر پیاده
glance	برق زدن - نگاه سریع - نگاه سریع کردن
nimble	چابک - agile
reckless	بی پروا
horrid	ترسناک - terrible - horrible
rave	با اشتیاق درباره چیزی حرف زدن یا نوشتن
sidewalk	پیاده رو
burglar	سارق منزل
puppet	عروسک خیمه شب بازی
uneasy	دلواپس - نگران - anxious
morsel	ذره - تکه - لقمه
quota	سهمیه
threat	تهدید
panic	وحشتزدگی - وحشت زده کردن - وحشت کردن
sponge	اسفنج
linger	باقی ماندن - از بین نرفتن - وقت زیاد صرف چیزی کردن
ambush	کمین
crafty	حیله گر
defiant	نافرمان
vigor (vigour)	نیرو - توان
perish	جان خود را (در حادثه) از دست دادن - از بین رفتن
captive	اسیر - زندانی - prisoner
plea	تقاضا - استدعا - اظهار نامه
weary	بسیار خسته - خسته کننده - خسته کردن
dilemma	دوراهی
detour	مسیر انحرافی - جاده فرعی
merit	مزیت - ارزش - worth
relieve	آرام کردن - تسکین دادن - کمک کردن
baffle	گیج کردن - سردرگم کردن
imitate	تقلید کردن
bill	صورت حساب - لایحه
bewilder	گیج کردن - confuse
warden	مسئول - رییس زندان
delinquent	کوتاهی کننده - بزهکار
spouse	همسر
vocation	حرفه - شغل
homicide	قتل
penalize	جریمه کردن - مجازات کردن
beneficiary	ذی نفع - وارث اموال
spit	تُف کردن
await	to wait for
needless	unnecessary
groom	داماد
bride	عروس
invasion	تهاجم
arise	occur - اتفاق افتادن - به وجود آمدن
precaution	اقدام احتیاطی - اقدام پیشگیرانه
extract	بیرون کشیدن
valiant	شجاع
savage	وحشی - بی رحم
fiercely	با تند خویی
scorn	تحقیر - تمسخر
dime	دَه سِنتی
wipe off	remove
flea	کَک
louse (pl. lice)	شپش
olive	زیتون
constitution	قانون اساسی - structure
objection	اعتراض - ایراد
fierce	درنده خو - تند خو
detest	تنفر داشتن از
sneer	پوزخند زدن
scowl	اخم کردن
vermin	حیوانات موذی - حشرات موذی
wail	شیون کردن - گریه و زاری کردن
impartial	بی طرف
trifle	یک ذره - مقدار کم
needy	نیازمند
district	ناحیه - منطقه
attorney	وکیل
architect	معمار - طراح
matrimony	پیوند زناشویی
squander	هدر دادن - waste
fugitive	فراری - متواری
calamity	مصیبت - فاجعه - disaster
pauper	تهیدست
prosecute	داد خواهی کردن - تحت تعقیب قرار دادن - دنبال کردن
bigamy	دو همسری
fellow	مرد - همکار (هم رتبه) - عضو هیئت مدیره دانشگاه
medic	طبیب
nail	ناخن - میخ
countryside	حومه شهر - ییلاق
compel	مجبور کردن
awesome	رعب انگیز - شگفت انگیز - عالی
quench	فرونشاندن - اطفاء کردن
betray	خیانت کردن - لو دادن
utter	گفتن - به زبان آوردن - تمام عیار
pacify	آرام کردن - صلح برقرار کردن
beckon	اشاره کردن - جذب کردن
upset	آشفته و ناراحت
clown	دلقک - دلقک بازی درآوردن
stingy	خسیس
despite	با وجود - علیرغم
rash	دانه های پوستی - عجولانه - یک سری چیز بد
exhaust	تحلیل بردن - خسته کردن - اگزوز - دود اگزوز
severity	وخامت - جدیت
feeble	ضعیف
thrifty	صرفه جو - مقتصد
miserly	خسیسی - خسیس
hurricane	طوفان شدید
coastal	ساحلی
trout	ماهی قزل آلا
presidency	ریاست - ریاست جمهوری
outlaw	یاغی - فراری - ممنوع کردن
undernourished	مبتلا به سوء تغذیه - malnourished
censor	سانسورچی - سانسور کردن
culprit	مقصر - مجرم
juvenile	جوان - جوانانه - بچه گانه
bait	طعمه - طعمه گذاشتن
sorrow	غم و اندوه - مصیبت
passenger	مسافر
conscience	وجدان
bright	روشن - براق - باهوش
offender	متخلف - مجرم
toil	با زحمت کار کردن
blunder	اشتباه احمقانه - اشتباه احمقانه کردن
daze	گیج کردن
mourn	سوگواری کردن
subside	فروکش کردن - آرام شدن
maim	معلول کردن - disable
commend	تحسین کردن - (به دست کسی) سپردن
exempt	معاف کردن
vain	مغرور - useless
repetition	تکرار
immortal	فناناپذیر - جاودان
will	اراده - علاقه - خواست - وصیت نامه
thrill	اشتیاق - هیجان
mortal	فناپذیر - مرگ بار - مهلک
novel	تازه - جدید - رمان
appoint	تعیین کردن - منصوب کردن
quarter	محله - اسکان دادن - یک چهارم
verse	آیه - شعر
roam	پرسه زدن - ولگردی
fate	سرنوشت - تقدیر
lunacy	دیوانگی - madness
commuter	مسافر هر روزه (میان خانه و محل کار)
idol	بُت
jest	شوخی - شوخی کردن - joke
patriotic	میهن پرستانه
dispute	مشاجره - مشاجره کردن
valor / valour	شجاعت
lunatic	دیوانه - احمقانه
vein	سیاه رگ ـ رگه
uneventful	یکنواخت - بی هیجان
heel	پاشنه پا
carton	بسته کارتونی
cartoon	فیلم کارتونی
sacredness	قداست
distress	غم و اندوه - درماندگی
signify	معنی دادن - نشان دادن
mythology	اسطوره شناسی - داستان اساطیر
torment	عذاب - عذاب دادن
loyalty	وفاداری
cricket	بازی کریکت - جیرجیرک
principal	مهمترین - اصلی - مدیر مدرسه یا دانشگاه
diver	غواص
tune	آهنگ موسیقی - تنظیم کردن
prejudice	پیشداوری - تبعیض
shrill	بلند و گوش خراش
jolly	سرخوش - خوشحال
hinder	مشکل کردن
mumble	زیر لب حرف زدن
youthful	جوان
rag	تکه پارچه کهنه
polio	فلج اطفال
mercury	جیوه
adolescent	نوجوان
coeducational	مدرسه مختلط
skim	نگاه سطحی - سربار چیزی را گرفتن - سُر دادن
utensil	وسیله (خانه)
temperate	معتدل
boast	لاف زدن
wisdom	دانایی - عقل
elevate	بالا بردن - ترفیع دادن
lottery	بخت آزمایی - قرعه کشی
finance	سرمایه - تامین سرمایه کردن
discard	کنار گذاشتن - دست کشیدن
soar	اوج گرفتن
relate	نقل کردن - ربط دادن
tablecloth	رومیزی
scorching	سوزان - پرحرارت
ache	درد کردن - درد
mortgage	وام مسکن - وثیقه گذاشتن
lessen	کاهش دادن
opium	افیون - تریاک
hasty	سریع - عجولانه
scorch	سطح چیزی را سوزاندن - خشک کردن
tempest	توفان شدید
soothe	تسکین دادن - آرام کردن
redeem	از گرو در آوردن - دوباره پس گرفتن
refrain	خودداری کردن - اجتناب کردن
narcotic	مخدر - آرام بخش
miser	خسیس
auditorium	تالار
soybean	دانه سویا
rip	پاره کردن - کندن - tear
grumble	complain
plentiful	فراوان
unite	متحد کردن
heir	وارث - جانشین
majestic	با عظمت - با شکوه - شاهانه
dwindle	تحلیل رفتن - کاهش یافتن
surplus	مازاد - اضافه
traitor	خائن - وطن فروش
vandal	خرابکار
abide	پایبند ماندن - تحمل کردن
unify	متحد کردن
summit	قله - اجلاس
heed	به دقت توجه کردن
lifeguard	نجات غریق
beard	ریش
chin	چانه
noble	اصیل - شریف
drench	خیس کردن - خیساندن
swarm	دسته - گروه - گروهی حرکت کردن
wobble	تلوتلو خوردن
tumult	آشفتگی - آشوب
kneel	زانو زدن
dejected	مایوس و غمگین - despondent
obedient	فرمانبردار
recede	کم کم دور شدن یا عقب رفتن یا کاهش یافتن
tyrant	دیکتاتور - ستمگر
digging	حفاری
vase	گلدان (شیشه ای)
yawning	خمیازه
blindfold	چشم بند
unearth	از زیر خاک درآوردن - پیدا کردن
depart	ترک کردن
legible	خوانا
placard	پوستر - پلاکارد
contagious	واگیر دار - مسری
customary	مرسوم - معمول - usual
scald	(با آب یا بخار داغ) سوزاندن - سوختگی (با آب یا بخار داغ)
stammer / stutter	لکنت داشتن - لکنت
stout	تنومند
